2d;Descripción;Letra;LetraDescripcion
1;AGRICULTURA, GANADERIA, CAZA Y SERVICIOS CONEXOS;A;AGRO&PESCA
2;SILVICULTURA, EXTRACCIÓN DE MADERA Y SERVICIOS CONEXIONES;A;AGRO&PESCA
5;PESCA, EXPLOTACION DE CRIADEROS DE PECES, GRANJAS PISCICOLAS Y SERVICIOS CONEXOS;B;AGRO&PESCA
10;EXTRACCION DE CARBON Y LIGNITO;C;OIL&GAS
11;EXTRACCION DE PETROLEO CRUDO Y GAS NATURAL;C;OIL&GAS
12;EXTRACCION DE MINERALES DE URANIO Y TORIO;C;OIL&GAS
13;EXTRACCION DE MINERALES METALIFEROS;C;OIL&GAS
14;EXPLOTACION DE MINAS Y CANTERAS N.C.P.;C;OIL&GAS
15;ELABORACION DE PRODUCTOS ALIMENTICIOS Y BEBIDAS;D;INDUSTRIA
16;ELABORACION DE PRODUCTOS DE TABACO;D;INDUSTRIA
17;FABRICACION DE PRODUCTOS TEXTILES;D;INDUSTRIA
18;FABRICACION DE PRENDAS DE VESTIR;D;INDUSTRIA
19;CURTIDO Y TERMINACION DE CUEROS;D;INDUSTRIA
20;PRODUCCION DE MADERA Y FABRICACION DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES;D;INDUSTRIA
21;FABRICACION DE PAPEL Y DE PRODUCTOS DE PAPEL;D;INDUSTRIA
22;EDICION E IMPRESION;D;INDUSTRIA
23;FABRICACION DE COQUE, PRODUCTOS DE LA REFINACION DEL PETROLEO Y COMBUSTIBLE NUCLEAR;D;INDUSTRIA
24;FABRICACION DE SUSTANCIAS Y PRODUCTOS QUIMICOS;D;INDUSTRIA
25;FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLASTICO;D;INDUSTRIA
26;FABRICACIÓN DE PRODUCTOS MINERALES NO METALICOS;D;INDUSTRIA
27;FABRICACIÓN DE METALES COMUNES;D;INDUSTRIA
28;FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO;D;INDUSTRIA
29;FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.;D;INDUSTRIA
30;FABRICACIÓN DE MAQUINARIA DE OFICINA, CONTABILIDAD E INFORMÁTICA;D;INDUSTRIA
31;FABRICACIÓN DE MAQUINARIA Y APARATOS ELÉCTRICOS N.C.P.;D;INDUSTRIA
32;FABRICACIÓN DE EQUIPOS Y APARATOS DE RADIO, TELEVISIÓN Y COMUNICACIONES;D;INDUSTRIA
33;FABRICACIÓN DE INSTRUMENTOS MÉDICOS, ÓPTICOS Y DE PRECISIÓN;D;INDUSTRIA
34;FABRICACIÓN DE VEHÍCULOS AUTOMOTORES, REMOLQUES Y SEMIREMOLQUES;D;INDUSTRIA
35;FABRICACIÓN DE EQUIPO DE TRANSPORTE N.C.P.;D;INDUSTRIA
36;FABRICACIÓN DE MUEBLES Y COLCHONES;D;INDUSTRIA
37;RECICLAMIENTO;D;INDUSTRIA
40;ELECTRICIDAD, GAS, VAPOR Y AGUA CALIENTE;E;UTILITIES
41;CAPTACION, DEPURACION Y DISTRIBUCION DE AGUA;E;UTILITIES
45;CONSTRUCCION;F;CONSTRUCCION
50;VENTA, MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS;G;COMERCIO
53;COMERCIO AL POR MAYOR, EN COMISSION Y AL POR MENOR, EXCEPTO VEHICULOS AUTOMOTORES Y MOTOCICLETAS;G;COMERCIO
55;SERVICIOS DE HOTELERIA Y RESTAURANTES;H;HOTELES&RESTAURANTES
60;SERVICIO DE TRANSPORTE TERRESTRE;I;TRANSPORTE
61;SERVICIO DE TRANSPORTE POR VIA ACUATICA;I;TRANSPORTE
62;SERVICIO DE TRANSPORTE AEREO;I;TRANSPORTE
63;SERVICIOS ANEXOS AL TRANSPORTE;I;TRANSPORTE
64;SERVICIOS DE CORREOS Y TELECOMUNICACIONES;I;TRANSPORTE
65;INTERMEDIACION FINANCIERA Y OTROS SERVICIOS FINANCIEROS EXCEPTO LOS DE SEGURO Y DE ADMINISTRACION DE FONDOS DE JUBILACIONES Y PENSIONES;J;FINANZAS
66;SERVICIOS DE SEGUROS Y DE ADMINISTRACIÓN DE FONDOS DE JUBILACIONES Y PENSIONES;J;FINANZAS
67;SERVICIOS AUXILIARES A LA ACTIVIDAD FINANCIERA;J;FINANZAS
70;SERVICIOS INMOBILIARIOS;K;SERV. INMBOLIARIOS&EMPRESARIALES
71;ALQUILER DE EQUIPO DE TRANSPORTE;K;SERV. INMBOLIARIOS&EMPRESARIALES
72;SERVICIOS INFORMATICOS Y ACTIVIDADES CONEXAS;K;SERV. INMBOLIARIOS&EMPRESARIALES
73;INVESTIGACIÓN Y DESARROLLO;K;SERV. INMBOLIARIOS&EMPRESARIALES
74;SERVICIOS EMPRESARIALES N.C.P.;K;SERV. INMBOLIARIOS&EMPRESARIALES
75;ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA;L;ADM PÚBLICA
80;ENSEÑANZA;M;ENSEÑANZA
85;SERVICIOS SOCIALES Y DE SALUD;N;SERV. SOC&SALUD
90;ELIMINACIÓN DE DESPERDICIOS Y AGUAS RESIDUALES, SANEAMIENTO Y SERVICIOS SIMILARES;O;OTROS SERVICIOS
91;SERVICIOS DE ASOCIACIONES;O;OTROS SERVICIOS
92;SERVICIOS DE ESPARCIMIENTO Y SERVICIOS CULTURALES Y DEPORTIVOS;O;OTROS SERVICIOS
93;SERVICIOS N.C.P.;O;OTROS SERVICIOS
95;SERVICIOS DE HOGARES PRIVADOS QUE CONTRATAN SERVICIO DOMESTICO;P;SERV. DOMÉSTICOS
99;SERVICIOS DE ORGANIZACIONES Y ORGANOS EXTRATERRITORIALES;Q;EXTRATERRITORIALES
0;Actividad no especificada claramente;Z;NA
