CAES_viejo_4d;CAES_viejo_2d;CAES_viejo_letra
101;1;A
102;1;A
103;1;A
104;1;A
104;1;A
105;1;A
200;2;A
500;5;B
1000;10;C
1100;11;C
1100;11;C
1200;12;C
1300;13;C
1400;14;C
1501;15;D
1502;15;D
1503;15;D
1504;15;D
1505;15;D
1600;16;D
1700;17;D
1800;18;D
1901;19;D
1902;19;D
2000;20;D
2100;21;D
2200;22;D
2200;22;D
2301;23;D
2302;23;D
2303;23;D
2401;24;D
2402;24;D
2403;24;D
2409;24;D
2501;25;D
2502;25;D
2601;26;D
2609;26;D
2700;27;D
2800;28;D
2900;29;D
2900;29;D
2900;29;D
3000;30;D
3100;31;D
3200;32;D
3200;32;D
3200;32;D
3300;33;D
3400;34;D
3501;35;D
3502;35;D
3503;35;D
3509;35;D
3601;36;D
3609;36;D
3700;37;D
4001;40;E
4002;40;E
4100;41;E
4200;42;E
4500;45;F
4501;45;F
5001;50;G
5002;50;G
5003;50;G
5004;50;G
5005;50;G
5101;51;G
5301;53;G
5302;53;G
5303;53;G
5304;53;G
5305;53;G
5306;53;G
5307;53;G
5308;53;G
5309;53;G
5310;53;G
5311;53;G
5501;55;H
5502;55;H
5503;55;H
5600;56;H
6001;60;I
6002;60;I
6003;60;I
6004;60;I
6009;60;I
6009;60;I
6100;61;I
6200;62;I
6202;62;
6301;63;I
6302;63;I
6303;63;I
6401;64;I
6402;64;I
6500;65;J
6600;66;J
6701;67;J
6702;67;J
7000;70;K
7101;71;K
7102;71;K
7103;71;K
7109;71;K
7201;72;K
7202;72;K
7300;73;K
7303;73;K
7401;74;K
7401;74;K
7401;74;K
7402;74;K
7403;74;K
7404;74;K
7405;74;K
7406;74;K
7409;74;K
7501;75;L
7501;75;L
7502;75;L
7503;75;L
8001;80;M
8002;80;M
8003;80;M
8004;80;M
8009;80;M
8501;85;N
8502;85;N
8503;85;N
8503;85;N
9000;90;O
9101;91;O
9102;91;O
9104;91;O
9109;91;O
9201;92;O
9201;92;O
9202;92;O
9203;92;O
9204;92;O
9204;92;O
9204;92;O
9301;93;O
9302;93;O
9303;93;O
9309;93;O
9402;94;O
9500;95;P
9900;99;Q
9999;99;Q
NA;80;M
