indicator, indicator.label, indicator.sort
"SDG_0111_SEX_AGE_RT","SDG indicator 1.1.1 - Working poverty rate (percentage of employed living below US$1.90 PPP) (%)",1
"SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)",2
"SDG_0552_OCU_RT","SDG indicator 5.5.2 - Female share of employment in managerial positions (%)",3
"SDG_0821_NOC_RT","SDG indicator 8.2.1 - Annual growth rate of output per worker (measured as GDP in constant 2011 international $ in PPP) (%)",4
"SDG_A831_SEX_RT","SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%)",5
"SDG_B831_SEX_RT","SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment -- Harmonized series (%)",6
"SDG_0851_SEX_OCU_NB","SDG indicator 8.5.1 - Average hourly earnings of female and male employees (Local currency)",7
"SDG_0852_SEX_AGE_RT","SDG indicator 8.5.2 - Unemployment rate (%)",8
"SDG_0852_SEX_DSB_RT","SDG indicator 8.5.2 - Unemployment rate by disability status (%)",9
"SDG_0861_SEX_RT","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training (%)",10
"SDG_B871_SEX_AGE_RT","SDG indicator 8.7.1 - Proportion of children engaged in economic activity and household chores (%)",11
"SDG_A871_SEX_AGE_RT","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)",12
"SDG_N881_SEX_MIG_RT","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers",13
"SDG_F881_SEX_MIG_RT","SDG indicator 8.8.1 - Fatal occupational injuries per 100'000 workers",14
"SDG_0922_NOC_RT","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)",15
"SDG_1041_NOC_RT","SDG indicator 10.4.1 - Labour income share as a percent of GDP (%)",16
"GDP_211P_NOC_NB","Output per worker (GDP constant 2011 international $ in PPP) -- ILO modelled estimates, November 2018",17
"GDP_205U_NOC_NB","Output per worker (GDP constant 2010 US $) -- ILO modelled estimates, November 2018",18
"POP_2LDR_NOC_RT","Labour dependency ratio -- ILO modelled estimates, November 2018",19
"POP_2POP_SEX_AGE_NB","Population by sex and age -- UN estimates and projections, July 2017 (thousands)",20
"POP_2POP_SEX_AGE_GEO_NB","Population by sex, age and rural / urban areas -- UN estimates, July 2017 (thousands)",21
"POP_2POP_GEO_NB","Population by rural / urban areas -- UN estimates and projections, July 2017 (thousands)",22
"EAP_2EAP_SEX_AGE_NB","Labour force by sex and age -- ILO modelled estimates, July 2018 (thousands)",23
"EAP_2MDN_SEX_NB","Median age of the labour force by sex -- ILO modelled estimates, July 2018 (years)",24
"EAP_2WAP_SEX_AGE_RT","Labour force participation rate by sex and age -- ILO modelled estimates, July 2018 (%)",25
