note_source, note_source.label, note_source.sort
"R1:2383","Repository: Eurostat",1
"R1:2384","Repository: Eurostat special tabulation",2
"R1:2382","Repository: OECD",3
"R1:2473","Repository: World Bank",4
"R1:3139","Repository: International Monetary Fund",5
"R1:2476","Repository: ILO-STATISTICS",6
"R1:3513","Repository: ILO-STATISTICS - Micro data processing",7
"R1:2475","Repository: ILO-AMERICAS",8
"R1:3133","Repository: UNICEF",9
"R1:2478","Repository: UN-ECLAC",10
"R1:3473","Repository: SEDLAC (CEDLAS and The World Bank)",11
"R1:2474","Repository: UN-DESA",12
"R1:2795","Repository: National Central Bank",13
"R1:2796","Repository: CIS-STAT",14
"R1:3472","Repository: CARICOM",15
"R1:2798","Repository: Ministry of Labour",16
"R1:2799","Repository: UNDP",17
"R1:2803","Repository: Media Reports",18
"R1:3136","Repository: European Commission",19
"R1:3138","Repository: Asian Development Bank",20
"R1:3134","Repository: African Economic Outlook",21
"R1:3140","Repository: Social Security Programs Throughout the World",22
"R1:3137","Repository: World Health Oganization",23
"R1:3135","Repository: Ministry of Finances",24
"R1:4005","Repository: ILO calculations based on Eurostat data",25
"S14:4077","Employment definition: Excluding own-use production workers",26
"S14:3359","Employment definition: Including subsistence workers",27
"S14:4147","Employment definition: Other nonstandard definition",28
"S11:328","Temporary change in source: Labour force survey",29
"S11:321","Temporary change in source: Other household survey",30
"S11:329","Temporary change in source: Population census",31
"S11:327","Temporary change in source: Economic or establishment census",32
"S11:325","Temporary change in source: National Accounts",33
"S11:323","Temporary change in source: Insurance records",34
"S11:326","Temporary change in source: Official Estimates",35
"S3:2880","Data reference period: Average of 9 monthly points",36
"S3:2879","Data reference period: Average of 11 monthly points",37
"S3:2116","Data reference period: Average of 2 monthly points",38
"S3:2882","Data reference period: Average of 3 monthly points",39
"S3:2881","Data reference period: Average of 4 monthly points",40
"S3:2884","Data reference period: Average of 5 monthly points",41
"S3:6","Data reference period: First semester",42
"S3:7","Data reference period: Second semester",43
"S3:8","Data reference period: First quarter",44
"S3:9","Data reference period: Second quarter",45
"S3:10","Data reference period: Third quarter",46
