source, source.label, source.sort
"BA:829","ABW - LFS - Labour force survey",1
"AA:22","ABW - PC - Population and Housing Census Aruba",2
"EB:7780","ABW - Other - The Economic Commission for Latin America (2007), Social Security Panel: Advances in coverage, quali",3
"FX:830","ABW - ADM - Other administrative records and related sources",4
"GA:2314","ABW - CPS - Consumer Price Index",5
"XA:6635","ABW - ILO - ILO Social Security Inquiry Database",6
"BB:6361","AFG - HIES - Living Condition Survey",7
"AA:831","AFG - PC - Population Census",8
"EA:834","AFG - OE - Official Estimates",9
"FX:3344","AFG - ADM - Labour legislation",10
"GA:2272","AFG - CPS - Consumer Price Index",11
"XA:7999","AFG - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",12
"XA:6636","AFG - ILO - ILO Social Security Inquiry Database",13
"XA:2198","AFG - ILO - ILO Estimates and Projections",14
"XX:8222","AFG - OS - World Development Indicators",15
"XX:14027","AFG - OS - UNICEF and ILO calculations",16
"BB:13366","AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être",17
"BA:13951","AGO - LFS - Inquérito ao Emprego em Angola",18
"AA:835","AGO - PC - Recensements de population",19
"EA:837","AGO - OE - Estimations officielles",20
"EB:7781","AGO - Other - USAID, Angola Health System Assessment",21
"FB:838","AGO - ADM-EOR - Fichiers des bureaux de placement",22
"FX:3363","AGO - ADM - Labour legislation",23
"GA:2319","AGO - CPS - Indice des prix à la consommation",24
"XA:7842","AGO - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",25
"XA:6579","AGO - ILO - ILO Social Security Inquiry Database",26
"XA:2010","AGO - ILO - ILO Estimates and Projections",27
"XX:8223","AGO - OS - World Development Indicators",28
"XX:14028","AGO - OS - UNICEF and ILO calculations",29
"BA:840","AIA - LFS - Labour force survey",30
"AA:839","AIA - PC - Population Census",31
"DA:841","AIA - ES - Labour-related establishment survey",32
"EB:842","AIA - Other - Other official sources",33
"GA:2306","AIA - CPS - Consumer Price Index",34
"XA:6637","AIA - ILO - ILO Social Security Inquiry Database",35
"BA:480","ALB - LFS - Labour Force Survey",36
"BB:7401","ALB - HIES - Living Standards Measurement Survey",37
"BX:7730","ALB - HS - Demographic and Health Survey",38
"AA:843","ALB - PC - Population Census",39
"DA:845","ALB - ES - Labour-related establishment survey",40
"DA:846","ALB - ES - Other establishment survey",41
"EA:847","ALB - OE - Official Estimates",42
"FA:13364","ALB - ADM-IR - General Directorate of Taxation",43
"FB:848","ALB - ADM-EOR - Registered unemployment",44
"FX:7131","ALB - ADM - Administrative records and related sources",45
"FX:482","ALB - ADM - Annual Structural Survey of Economic Enterprises",46
"FX:3278","ALB - ADM - Labour legislation",47
"GA:481","ALB - CPS - Consumer Price Index",48
"XA:7850","ALB - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",49
"XA:6547","ALB - ILO - ILO Social Security Inquiry Database",50
"XA:2137","ALB - ILO - ILO Estimates and Projections",51
"XX:8145","ALB - OS - World Development Indicators",52
"XX:13994","ALB - OS - UNICEF and ILO calculations",53
"BA:850","AND - LFS - Enquête sur la population active",54
"AA:849","AND - PC - Recensement de la population",55
"EA:98","AND - OE - Estimations du département des statistiques",56
"FB:99","AND - ADM-EOR - Registres du service pour l'emploi",57
"FX:97","AND - ADM - Service Andorran de Sécurité Sociale",58
"FX:851","AND - ADM - Autres fichiers administratifs et sources connexes",59
"GA:2303","AND - CPS - Indice des prix à la consommation",60
"XA:7807","AND - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",61
"XA:6484","AND - ILO - ILO Social Security Inquiry Database",62
"BA:748","ANT - LFS - Labour force survey",63
"AA:852","ANT - PC - Population Census",64
"EA:853","ANT - OE - Official Estimates",65
"FA:854","ANT - ADM-IR - Insurance records",66
"FX:856","ANT - ADM - Other administrative records and related sources",67
"FX:855","ANT - ADM - Other administrative records and related sources (Strikes and Lockouts)",68
"GA:2318","ANT - CPS - Consumer Price Index",69
"BA:716","ARE - LFS - Labour force survey",70
"AA:858","ARE - PC - Population census",71
"DA:859","ARE - ES - Labour-related establishment survey",72
"EA:860","ARE - OE - Official Estimates",73
"FX:12920","ARE - ADM - Ministry of Labour Data Library",74
"GA:717","ARE - CPS - Consumer Price Index",75
"XA:8000","ARE - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",76
"XA:6638","ARE - ILO - ILO Social Security Inquiry Database",77
"XA:1978","ARE - ILO - ILO Estimates and Projections",78
"XX:8224","ARE - OS - World Development Indicators",79
"BA:150","ARG - LFS - Encuesta Permanente de Hogares (Urban)",80
"BA:153","ARG - LFS - Encuesta Anual de Hogares Urbanos",81
"BC:2214","ARG - CLS - Child Labour Survey",82
"AA:861","ARG - PC - Censos de población",83
"DA:862","ARG - ES - Encuesta de establecimientos relacionada con el trabajo",84
"EA:864","ARG - OE - Estimaciones oficiales",85
"EB:156","ARG - Other - Recolección especial de datos",86
"FA:865","ARG - ADM-IR - Registros de seguros",87
"FX:3503","ARG - ADM - Administrative records",88
"FX:158","ARG - ADM - Plan Nacional de Regularización del Trabajo",89
"FX:3502","ARG - ADM - Sistema Integrado Previsional Argentino",90
"FX:157","ARG - ADM - Registros administrativos y fuentes relacionadas",91
"FX:154","ARG - ADM - Registro de Accidentes de Trabajo y Enfermedades Profesionales",92
"FX:8237","ARG - ADM - Estimaciones basadas en Registros del Ministerio de Trabajo, Empleo y Seguridad Social",93
"GA:2320","ARG - CPS - Indice de precios al consumidor",94
"XA:7945","ARG - ILO - ILO calculations based on WHO National Health Accounts and Global Health Observatory",95
"XA:6531","ARG - ILO - ILO Social Security Inquiry Database",96
"XA:1868","ARG - ILO - ILO Estimates and Projections",97
"XX:8208","ARG - OS - World Development Indicators",98
"BA:867","ARM - LFS - Household Labour Force Survey",99
"BB:173","ARM - HIES - Households' Integrated Living Conditions Survey",100
"BX:6366","ARM - HS - School to work transition survey",101
"BX:13331","ARM - HS - Integrated survey on migration",102
"AA:6363","ARM - PC - Population census",103
"DA:177","ARM - ES - Labour-related establishment survey",104
"EA:868","ARM - OE - Official Estimates",105
"EB:176","ARM - Other - Statistical Report on Occupational Injuries",106
"EB:7765","ARM - Other - WHO (2009), Armenia Health System Performance Assessment",107
"FB:869","ARM - ADM-EOR - Employment office records",108
"FF:172","ARM - ADM-LIR - Records of Labour Inspection of Republic of Armenia",109
"FI:171","ARM - ADM-RWO - Records from branch republican Unions",110
"FX:3283","ARM - ADM - Labour legislation",111
